relation_id,from_model,to_model,relation_type,strength,direction,description
REL-294,P07,CO05,COMPOSES_WITH,0.8,unidirectional,Mental model alignment enables integration
REL-295,P08,IN04,COMPOSES_WITH,0.7,bidirectional,Counterfactual reasoning tests simplification strategies
REL-296,P09,SY01,COMPOSES_WITH,0.8,unidirectional,Time horizon analysis reveals system evolution
REL-297,P10,DE04,REFINES,0.7,bidirectional,Scale perspective reveals constraint relativity
REL-298,P10,CO09,COMPOSES_WITH,0.6,unidirectional,Scale analysis informs microservice granularity
REL-299,RE01,SY03,COMPOSES_WITH,0.9,unidirectional,Pattern recognition identifies system archetypes
REL-300,RE02,CO01,COMPOSES_WITH,0.8,bidirectional,Modular composition enables reusable patterns
REL-301,RE02,DE03,COMPOSES_WITH,0.8,bidirectional,Module libraries implement pattern reuse
REL-302,RE02,SY01,COMPOSES_WITH,0.7,unidirectional,Reusable patterns simplify system design
REL-303,RE02,P06,REFINES,0.6,bidirectional,Analogies enable cross-domain pattern reuse
REL-304,RE03,DE01,COMPOSES_WITH,0.9,bidirectional,Root cause pattern analysis reveals systematic issues
REL-305,RE03,SY01,COMPOSES_WITH,0.8,unidirectional,System patterns indicate structural properties
REL-306,RE03,IN02,COMPOSES_WITH,0.7,unidirectional,Failure pattern analysis strengthens premortem
REL-307,RE03,CO01,REFINES,0.6,bidirectional,Composition patterns emerge from repeated integration
REL-308,RE04,SY05,COMPOSES_WITH,0.9,bidirectional,Learning loops create path dependencies
REL-309,RE04,RE06,REFINES,0.8,bidirectional,Learning loops are positive feedback mechanisms
REL-310,RE04,CO11,COMPOSES_WITH,0.7,unidirectional,Learning requires state management
REL-311,RE04,DE09,CONFLICTS,0.6,bidirectional,Learning increases system complexity
REL-312,RE05,DE04,COMPOSES_WITH,0.8,bidirectional,Constraint relaxation iteratively expands solution space
REL-313,RE05,IN03,COMPOSES_WITH,0.8,bidirectional,Iterative inversion progressively removes constraints
REL-314,RE05,CO01,REFINES,0.6,unidirectional,Relaxing constraints enables new compositions
REL-315,RE06,SY04,COMPOSES_WITH,0.9,bidirectional,Feedback loops create cascade amplification
REL-316,RE08,IN07,COMPOSES_WITH,0.8,bidirectional,Hypothesis testing validates assumption inversions
REL-317,RE09,DE03,COMPOSES_WITH,0.8,bidirectional,Prototyping tests modular decomposition strategies
REL-318,RE10,DE07,COMPOSES_WITH,0.9,bidirectional,A/B testing identifies bottlenecks through iteration
REL-319,SY01,P03,COMPOSES_WITH,0.8,bidirectional,System topology varies with perspective
REL-320,SY02,IN02,SCAFFOLDS,0.9,bidirectional,Premortem must precede risk mitigation planning
REL-321,SY03,RE01,COMPOSES_WITH,0.9,bidirectional,Archetype classification uses pattern recognition
REL-322,SY04,CO03,COMPOSES_WITH,0.8,unidirectional,Pipeline cascades are system failure modes
REL-323,SY05,IN10,COMPOSES_WITH,0.9,bidirectional,Path dependency requires temporal reasoning
REL-324,SY06,RE06,COMPOSES_WITH,0.9,bidirectional,Tipping points emerge from feedback dynamics
REL-325,SY07,DE07,COMPOSES_WITH,0.8,unidirectional,Leverage points often target bottlenecks
REL-326,SY08,CO09,COMPOSES_WITH,0.7,unidirectional,Emergent behavior arises in distributed systems
REL-327,SY09,CO02,COMPOSES_WITH,0.8,unidirectional,Nested hierarchies create layered systems
REL-328,SY10,DE05,COMPOSES_WITH,0.8,unidirectional,Network effects amplify through dependencies
REL-329,SY11,CO06,COMPOSES_WITH,0.9,unidirectional,Resilience engineering guides orchestration design
REL-330,SY12,IN04,CONTRASTS_WITH,0.7,bidirectional,Complex adaptive systems resist simplification
REL-331,SY13,P02,COMPOSES_WITH,0.9,bidirectional,Stakeholder incentives drive system architecture
REL-332,SY14,CO01,SCAFFOLDS,0.8,unidirectional,Boundary definition must precede composition
REL-333,SY19,P01,SCAFFOLDS,0.9,bidirectional,First principles and meta-model selection are mutually reinforcing
